frontend_specialty,PRIMARY_TAXONOMY,taxonomy_description,mapping_status,mapping_notes
Oncology,2080P0207X,Pediatric Hematology & Oncology Physician,approved,Pediatric/specialty overlap: Oncology <-> Pediatrics
Internal Medicine,207R00000X,Internal Medicine Physician,approved,Core internal medicine code
Internal Medicine,207RC0200X,Critical Care Medicine (Internal Medicine) Physician,approved,IM subspecialty
Internal Medicine,207RG0100X,Gastroenterology Physician,approved,IM subspecialty
Internal Medicine,207RI0200X,Infectious Disease Physician,approved,IM subspecialty
Internal Medicine,207RN0300X,Nephrology Physician,approved,IM subspecialty
Internal Medicine,207RP1001X,Pulmonary Disease Physician,approved,IM subspecialty
Internal Medicine,207RR0500X,Rheumatology Physician,approved,IM subspecialty
Internal Medicine,207RH0000X,Hematology (Internal Medicine) Physician,approved,IM subspecialty
Internal Medicine,207RG0300X,Geriatric Medicine (Internal Medicine) Physician,approved,IM subspecialty
Internal Medicine,207RA0201X,Allergy & Immunology (Internal Medicine) Physician,approved,IM subspecialty
Internal Medicine,207RT0003X,Transplant Hepatology Physician,approved,IM subspecialty
Internal Medicine,207RI0008X,Hepatology Physician,approved,IM subspecialty
Internal Medicine,207RH0005X,Hypertension Specialist Physician,approved,IM subspecialty
Internal Medicine,207RM1200X,Magnetic Resonance Imaging (MRI) Internal Medicine Physician,approved,IM subspecialty
Internal Medicine,207RA0002X,Adult Congenital Heart Disease Physician,approved,IM subspecialty
Internal Medicine,207RA0000X,Adolescent Medicine (Internal Medicine) Physician,approved,IM subspecialty
Internal Medicine,207RA0401X,Addiction Medicine (Internal Medicine) Physician,approved,IM subspecialty
Internal Medicine,207RI0001X,Clinical & Laboratory Immunology (Internal Medicine) Physician,approved,IM subspecialty
Internal Medicine,207RB0002X,Obesity Medicine (Internal Medicine) Physician,approved,IM subspecialty
Internal Medicine,207RP1002X,Physician Nutrition Specialist (Internal Medicine),approved,IM subspecialty
Internal Medicine,207RS0012X,Sleep Medicine (Internal Medicine) Physician,approved,IM subspecialty
Internal Medicine,207RS0010X,Sports Medicine (Internal Medicine) Physician,approved,IM subspecialty
Internal Medicine,207QB0505X,Diabetology (Internal Medicine) Physician,approved,IM subspecialty
Internal Medicine,207RH0002X,Hospice and Palliative Medicine (Internal Medicine) Physician,approved,IM subspecialty
Emergency Medicine,207P00000X,Emergency Medicine Physician,approved,Core emergency medicine code
Emergency Medicine,207PE0004X,Emergency Medical Services (Emergency Medicine) Physician,approved,EM subspecialty
Emergency Medicine,207PT0002X,Medical Toxicology (Emergency Medicine) Physician,approved,EM subspecialty
Emergency Medicine,207PS0010X,Sports Medicine (Emergency Medicine) Physician,approved,EM subspecialty
Emergency Medicine,207PE0005X,Undersea and Hyperbaric Medicine (Emergency Medicine) Physician,approved,EM subspecialty
Emergency Medicine,207PH0002X,Hospice and Palliative Medicine (Emergency Medicine) Physician,approved,EM subspecialty
Emergency Medicine,207PP0204X,Pediatric Emergency Medicine (Emergency Medicine) Physician,approved,Pediatric/specialty overlap: Emergency Medicine <-> Pediatrics
Emergency Medicine,2080P0204X,Pediatric Emergency Medicine (Pediatrics) Physician,approved,Pediatric/specialty overlap: Emergency Medicine <-> Pediatrics
Obstetrics & Gynecology,207V00000X,Obstetrics & Gynecology Physician,approved,Core OB/GYN code
Obstetrics & Gynecology,207VG0400X,Gynecology Physician,approved,Gyn-only
Obstetrics & Gynecology,207VX0000X,Obstetrics Physician,approved,OB-only
Obstetrics & Gynecology,207VM0101X,Maternal & Fetal Medicine Physician,approved,OB/GYN subspecialty
Obstetrics & Gynecology,207VC0300X,Complex Family Planning Physician,approved,OB/GYN subspecialty
Obstetrics & Gynecology,207VC0200X,Critical Care Medicine (Obstetrics & Gynecology) Physician,approved,OB/GYN subspecialty
Obstetrics & Gynecology,207VF0040X,Urogynecology and Reconstructive Pelvic Surgery (Obstetrics & Gynecology) Physician,approved,OB/GYN subspecialty
Obstetrics & Gynecology,207VB0002X,Obesity Medicine (Obstetrics & Gynecology) Physician,approved,OB/GYN subspecialty
Obstetrics & Gynecology,207VH0002X,Hospice and Palliative Medicine (Obstetrics & Gynecology) Physician,approved,OB/GYN subspecialty
Obstetrics & Gynecology,207VX0201X,Gynecologic Oncology Physician,approved,Cross-specialty overlap: Obstetrics & Gynecology <-> Oncology
Obstetrics & Gynecology,207VE0102X,Reproductive Endocrinology Physician,approved,Cross-specialty overlap: Obstetrics & Gynecology <-> Endocrinology
Endocrinology,207RE0101X,"Endocrinology, Diabetes & Metabolism Physician",approved,Core endocrinology code
Endocrinology,2080P0205X,Pediatric Endocrinology Physician,approved,Pediatric/specialty overlap: Endocrinology <-> Pediatrics
Endocrinology,207VE0102X,Reproductive Endocrinology Physician,approved,Cross-specialty overlap: Endocrinology <-> Obstetrics & Gynecology
